year,broodline,district,subdist,strmnmb,Sum_P_AUC,Sum_C_AUC,pink_strm_life,chum_strm_life
1967,Odd,224,10,469,9600,0,11.8,12.6
1967,Odd,224,30,476,737500,0,16,12.6
1967,Odd,224,30,479,0,0,11.7,12.6
1967,Odd,224,40,480,22475,5315,11.7,12.6
1967,Odd,224,40,484,2790,10400,6.8,12.6
1967,Odd,224,40,485,14310,0,11.8,12.6
1967,Odd,224,40,495,4040,1505,11.8,12.6
1967,Odd,225,30,510,1570,0,6.8,12.6
1967,Odd,225,30,511,28080,0,11.7,12.6
1967,Odd,226,20,603,15300,0,10.2,12.6
1967,Odd,226,20,604,2950,0,11.8,12.6
1967,Odd,226,20,608,391750,31500,15.6,12.6
1967,Odd,226,20,613,40050,8750,15.6,12.6
1967,Odd,226,20,630,27500,0,16,12.6
1967,Odd,226,40,666,38800,5040,11.8,12.6
1967,Odd,226,40,673,14625,0,11.7,12.6
1967,Odd,226,40,676,170,0,6.8,12.6
1967,Odd,227,10,707,6345,0,15.6,12.6
1967,Odd,227,10,710,1950,0,15.6,12.6
1967,Odd,227,10,711,2825,315,15.6,12.6
1967,Odd,227,10,717,0,1260,15.6,12.6
1967,Odd,227,10,718,2340,0,15.6,12.6
1967,Odd,227,10,719,2340,0,15.6,12.6
1967,Odd,227,10,739,4800,2620,16,12.6
1967,Odd,227,10,740,4800,0,16,12.6
1967,Odd,227,10,741,2190,54550,15.6,12.6
1967,Odd,227,20,744,4680,0,15.6,12.6
1967,Odd,227,20,747,5290,7400,15.6,12.6
1967,Odd,227,20,749,5460,0,15.6,12.6
1967,Odd,227,20,752,5900,0,11.8,12.6
1967,Odd,227,20,758,1530,0,10.2,12.6
1967,Odd,227,20,759,14625,0,11.7,12.6
1967,Odd,227,20,775,2434,0,11.8,12.6
1967,Odd,228,60,806,2340,301,15.6,12.6
1967,Odd,228,60,810,2300,0,15.6,12.6
1967,Odd,228,60,812,758600,6930,15.6,12.6
1967,Odd,228,60,815,420990,100890,15.6,12.6
1967,Odd,228,50,817,58290,0,15.6,12.6
1967,Odd,228,50,818,47830,0,15.6,12.6
1967,Odd,228,50,821,7570,13125,15.6,12.6
1967,Odd,228,40,827,153210,0,15.6,12.6
1967,Odd,228,40,828,137930,6690,15.6,12.6
1967,Odd,228,40,831,213950,1500,15.6,12.6
1967,Odd,228,20,835,219500,980,15.6,12.6
1967,Odd,228,20,837,72900,196,15.6,12.6
1967,Odd,228,30,844,53000,0,15.6,12.6
1967,Odd,228,30,847,82900,0,15.6,12.6
1967,Odd,228,30,850,46300,0,15.6,12.6
1967,Odd,228,30,857,6120,0,10.2,12.6
1967,Odd,228,30,861,95250,0,15.6,12.6
1968,Even,221,20,36,652885,46746,21.5,12.6
1968,Even,221,50,115,883750,0,14.7,12.6
1968,Even,222,10,214,4275,25830,21.5,12.6
1968,Even,222,10,216,9300,5705,21.5,12.6
1968,Even,222,20,224,4250,0,21.5,12.6
1968,Even,228,60,812,114900,3150,21.5,12.6
1968,Even,228,60,815,949625,81200,21.5,12.6
1968,Even,228,40,827,45725,0,21.5,12.6
1968,Even,228,40,828,134500,0,21.5,12.6
1968,Even,228,40,831,65650,0,21.5,12.6
1968,Even,228,20,837,8825,0,21.5,12.6
1968,Even,228,30,844,28500,0,21.5,12.6
1968,Even,228,30,847,109825,0,21.5,12.6
1968,Even,228,30,850,22800,0,21.5,12.6
1968,Even,228,30,857,11970,0,14.2,12.6
1968,Even,228,30,861,131950,0,21.5,12.6
1969,Odd,221,20,20,1770,0,11.8,12.6
1969,Odd,221,20,35,230950,50560,16,12.6
1969,Odd,221,20,36,363700,19950,16,12.6
1969,Odd,221,30,46,13200,0,16,12.6
1969,Odd,221,30,48,43150,46190,16,12.6
1969,Odd,221,30,51,134700,123790,16,12.6
1969,Odd,221,30,52,89250,11870,16,12.6
1969,Odd,221,30,56,30400,2580,16,12.6
1969,Odd,221,40,76,100275,450,16,12.6
1969,Odd,221,40,80,15200,0,16,12.6
1969,Odd,221,40,89,62900,700,16,12.6
1969,Odd,221,40,92,5800,0,6.8,12.6
1969,Odd,221,40,99,30170,1080,10.2,12.6
1969,Odd,221,50,115,127450,0,11.7,12.6
1969,Odd,221,50,116,24700,216140,11.7,12.6
1969,Odd,221,50,117,147000,71200,16,12.6
1969,Odd,221,50,123,30500,2990,16,12.6
1969,Odd,221,50,129,9850,630,16,12.6
1969,Odd,221,50,152,5850,3375,11.7,12.6
1969,Odd,221,50,153,277050,63360,16,12.6
1969,Odd,222,10,214,20300,14240,16,12.6
1969,Odd,222,10,216,15400,12560,16,12.6
1969,Odd,222,20,224,10150,0,16,12.6
1969,Odd,222,20,229,25850,0,16,12.6
1969,Odd,222,20,233,1755,0,11.7,12.6
1969,Odd,222,20,234,757600,240800,16,12.6
1969,Odd,222,20,258,396000,1400,16,12.6
1969,Odd,222,20,264,19200,0,16,12.6
1969,Odd,222,30,276,6110,1170,11.8,12.6
1969,Odd,222,30,277,0,0,11.8,12.6
1969,Odd,222,30,279,7670,0,6.8,12.6
1969,Odd,223,30,322,922000,224345,16,12.6
1969,Odd,223,10,421,36050,3850,16,12.6
1969,Odd,223,10,424,6800,0,16,12.6
1969,Odd,223,10,425,0,0,16,12.6
1969,Odd,223,10,430,7600,2650,16,12.6
1969,Odd,223,10,432,122750,5750,16,12.6
1969,Odd,224,10,450,64850,2450,11.8,12.6
1969,Odd,224,10,455,12490,900,11.8,12.6
1969,Odd,224,10,461,1210,0,10.2,12.6
1969,Odd,224,10,469,20630,0,11.8,12.6
1969,Odd,224,30,479,30975,0,11.7,12.6
1969,Odd,224,40,480,18825,3176,11.7,12.6
1969,Odd,224,40,484,4100,980,6.8,12.6
1969,Odd,224,40,485,29290,0,11.8,12.6
1969,Odd,226,20,603,1530,0,10.2,12.6
1969,Odd,226,20,604,885,0,11.8,12.6
1969,Odd,226,20,608,469300,0,15.6,12.6
1969,Odd,226,20,613,60060,0,15.6,12.6
1969,Odd,226,20,621,2762.5,0,11.7,12.6
1969,Odd,226,20,630,31250,0,16,12.6
1969,Odd,226,20,633,675,0,11.7,12.6
1969,Odd,226,50,653,0,0,11.8,12.6
1969,Odd,226,40,655,340,0,6.8,12.6
1969,Odd,226,40,656,0,0,11.7,12.6
1969,Odd,226,40,666,49700,0,11.8,12.6
1969,Odd,226,40,673,0,0,11.7,12.6
1969,Odd,227,10,740,13000,0,16,12.6
1969,Odd,227,20,744,0,0,15.6,12.6
1969,Odd,227,20,775,0,0,11.8,12.6
1969,Odd,228,60,812,91706,1493,15.6,12.6
1969,Odd,228,60,815,73520,49610,15.6,12.6
1969,Odd,228,50,817,75800,0,15.6,12.6
1969,Odd,228,50,818,4320,350,15.6,12.6
1969,Odd,228,40,828,25880,11660,15.6,12.6
1969,Odd,228,40,831,21000,0,15.6,12.6
1969,Odd,228,20,835,15420,0,15.6,12.6
1969,Odd,228,30,844,400,0,15.6,12.6
1969,Odd,228,30,847,780,0,15.6,12.6
1969,Odd,228,30,850,1560,0,15.6,12.6
1969,Odd,228,30,857,9600,0,10.2,12.6
1969,Odd,228,30,861,1560,0,15.6,12.6
1970,Even,221,20,20,0,0,13.7,12.6
1970,Even,221,20,35,445105,5808,21.5,12.6
1970,Even,221,20,36,165725,0,21.5,12.6
1970,Even,221,30,46,9500,465,21.5,12.6
1970,Even,221,30,48,102750,46470,21.5,12.6
1970,Even,221,30,51,228250,36300,21.5,12.6
1970,Even,221,30,52,47425,5700,21.5,12.6
1970,Even,221,30,56,30875,0,21.5,12.6
1970,Even,221,40,76,25625,0,21.5,12.6
1970,Even,221,40,89,86475,3250,21.5,12.6
1970,Even,221,40,92,2140,0,9.6,12.6
1970,Even,221,40,99,57740,0,14.2,12.6
1970,Even,221,50,115,111885,0,14.7,12.6
1970,Even,221,50,116,111600,17400,14.7,12.6
1970,Even,221,50,117,123250,30010,21.5,12.6
1970,Even,221,50,123,16075,1450,21.5,12.6
1970,Even,221,50,127,69975,13760,21.5,12.6
1970,Even,221,50,129,50850,7460,21.5,12.6
1970,Even,221,50,153,237000,12500,21.5,12.6
